Drug,Cell,Label,LN_IC50
Nilotinib,22RV1_PROSTATE,Resistance,2.079441541679836
Nilotinib,5637_URINARY_TRACT,Resistance,2.011611565776565
Nilotinib,639V_URINARY_TRACT,Resistance,2.079441541679836
Nilotinib,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity,0.6473306324337539
Nilotinib,769P_KIDNEY,Resistance,2.079441541679836
Nilotinib,786O_KIDNEY,Resistance,2.079441541679836
Nilotinib,8305C_THYROID,Resistance,1.7290415525395388
Nilotinib,8505C_THYROID,Resistance,1.92461771875926
Nilotinib,A172_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441541679836
Nilotinib,A204_SOFT_TISSUE,Sensitivity,0.07880601774922562
Nilotinib,A2058_SKIN,Resistance,2.079441541679836
Nilotinib,A253_SALIVARY_GLAND,Resistance,2.079441541679836
Nilotinib,A2780_OVARY,Resistance,1.9176126940208085
Nilotinib,A375_SKIN,Resistance,2.079441541679836
Nilotinib,A549_LUNG,Resistance,1.7982208329188143
Nilotinib,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity,-5.825238158737059
Nilotinib,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,0.8004109434930912
Nilotinib,AN3CA_ENDOMETRIUM,Resistance,2.079441541679836
Nilotinib,ASPC1_PANCREAS,Resistance,2.079441541679836
Nilotinib,AU565_BREAST,Resistance,2.0642257077850017
Nilotinib,AZ521_STOMACH,Resistance,2.079441541679836
Nilotinib,BCPAP_THYROID,Resistance,2.009030760791433
Nilotinib,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441541679836
Nilotinib,BFTC909_KIDNEY,Resistance,2.079441541679836
Nilotinib,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441541679836
Nilotinib,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441541679836
Nilotinib,BT20_BREAST,Resistance,2.079441541679836
Nilotinib,BT474_BREAST,Resistance,1.9304398025271257
Nilotinib,BT549_BREAST,Resistance,2.079441541679836
Nilotinib,C2BBE1_LARGE_INTESTINE,Resistance,1.920009179123752
Nilotinib,C32_SKIN,Resistance,2.079441541679836
Nilotinib,CAKI2_KIDNEY,Resistance,2.079441541679836
Nilotinib,CAL78_BONE,Resistance,2.079441541679836
Nilotinib,CAL851_BREAST,Resistance,2.079441541679836
Nilotinib,CALU1_LUNG,Resistance,2.079441541679836
Nilotinib,CALU3_LUNG,Resistance,2.079441541679836
Nilotinib,CAMA1_BREAST,Resistance,1.84562732752159
Nilotinib,CAPAN2_PANCREAS,Sensitivity,-2.765497349563164
Nilotinib,CAS1_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441541679836
Nilotinib,CHL1_SKIN,Resistance,2.079441541679836
Nilotinib,CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441541679836
Nilotinib,CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441541679836
Nilotinib,COLO201_LARGE_INTESTINE,Resistance,2.079441541679836
Nilotinib,COLO205_LARGE_INTESTINE,Resistance,2.079441541679836
Nilotinib,COLO320_LARGE_INTESTINE,Resistance,1.6076884888846794
Nilotinib,COLO678_LARGE_INTESTINE,Resistance,2.079441541679836
Nilotinib,COLO679_SKIN,Resistance,1.995773548394311
Nilotinib,CORL23_LUNG,Resistance,2.079441541679836
Nilotinib,COV318_OVARY,Resistance,2.0395085426411823
Nilotinib,COV504_OVARY,Resistance,2.079441541679836
Nilotinib,DAOY_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441541679836
Nilotinib,DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441541679836
Nilotinib,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,1.8348894367284936
Nilotinib,DETROIT562_UPPER_AERODIGESTIVE_TRACT,Resistance,2.079441541679836
Nilotinib,DKMG_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441541679836
Nilotinib,DMS114_LUNG,Resistance,1.8014873992793907
